Individual,Emitter,Generation,WinCount,AverageHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Weight:0,Weight:1,Weight:2,Weight:3,Weight:4,Weight:5,Weight:6,Weight:7,Weight:8,Weight:9,Weight:10,Weight:11,Weight:12,Weight:13,Weight:14,Weight:15,Weight:16,Weight:17,Weight:18,Weight:19,Weight:20,Weight:21,Weight:22,Weight:23,Weight:24,Weight:25,Weight:26,Weight:27,Weight:28,Weight:29,Weight:30,Weight:31,Weight:32,Weight:33,Weight:34,Weight:35,Weight:36,Weight:37,Weight:38,Weight:39,Weight:40,Weight:41,Weight:42,Weight:43,Weight:44,Weight:45,Weight:46,Weight:47,Weight:48,Weight:49,Weight:50,Weight:51,Weight:52,Weight:53,Weight:54,Weight:55,Weight:56,Weight:57,Weight:58,Weight:59,Weight:60,Weight:61,Weight:62,Weight:63,Weight:64,Weight:65,Weight:66,Weight:67,Weight:68,Weight:69,Weight:70,Weight:71,Weight:72,Weight:73,Weight:74,Weight:75,Weight:76,Weight:77,Weight:78,Weight:79,Weight:80,Weight:81,Weight:82,Weight:83,Weight:84,Weight:85,Weight:86,Weight:87,Weight:88,Weight:89,Weight:90,Weight:91,Weight:92,Weight:93,Weight:94,Weight:95,Weight:96,Weight:97,Weight:98,Weight:99,Weight:100,Weight:101,Weight:102,Weight:103,Weight:104,Weight:105,Weight:106,Weight:107,Weight:108
0,0,0,0,-30.17,0.026890756302521,5.95,1.27563025210084,6.7327731092437,0.895798319327731,2.61344537815126,19471.0840336134,9900,119,6.16555555555555,26,4,0,19471.0840336134,-0.944823130939539,-0.272395087998544,0.34430690917387,0.689362797741482,-0.730894058817483,0.377827660822229,0.211686216859001,-0.746033449538999,0.752822101932402,0.22885021438303,-0.360145793929764,0.975946448732143,0.314653470793112,0.686465578939051,-0.45928353884224,0.0291176508316386,0.276561941614636,-0.826688619249821,-0.766498925986932,0.737362597946712,0.244849740175926,-0.843886159287713,0.0222451971016104,0.73448405868117,0.0332508138535781,0.681115621552391,0.421908415584782,0.960689250361495,-0.522865171322071,0.00528523745261378,0.402454037872354,-0.0410274011273996,-0.00419892044933468,-0.286078392195552,-0.537616755598046,-0.24572012631489,-0.388550604408863,0.913149745163112,-0.133571568473043,0.923011743427725,0.139445057669396,0.574585629429009,0.947590141532752,0.271733692508067,-0.249638151028025,0.363540587650398,-0.701278366009369,-0.937061461590725,0.0167927038934048,-0.892791847648468,0.532047782806702,-0.557835480923688,0.275462541391823,0.746538960256865,0.587039177113696,0.899063028348174,0.705359714899845,0.6098228504927,-0.343888016112097,-0.412009680369873,0.955919245237447,0.250996966497506,0.776831721783072,-0.252463135520212,0.826396176510675,0.680881607197636,-0.0198546308185228,-0.399268137011336,0.224082334537097,0.78643658747265,-0.582331744759498,0.363412196451524,0.306882949223222,-0.689510669414658,-0.402082459722684,0.670264110746916,-0.791476300820464,0.750511504593544,-0.0158777902908054,0.66971022620318,0.382393987561759,0.358969877175507,-0.0561034535319095,-0.630073323673603,0.473237454645912,-0.0397104812039577,0.683510057480778,0.249262119293801,0.126882430690752,-0.43667978394622,0.048920158785265,0.00162654509843629,0.257037761275208,-0.721561888103169,0.967092498190278,0.888448091171891,0.797753907645938,0.200053277052964,0.445337515997392,0.0694802417743394,-0.616604781531079,0.697989771001968,-0.161143796127822,0.230356116420755,0.68953989711103,-0.831364413644822,0.13528156985309,-0.0350267891935198,0.148621419979549
1,0,0,0,-30.01,0.0048701298701299,6.16,1.00974025974026,6.31493506493506,0.25974025974026,3.45454545454545,202942.727272727,9900,119,6.16555555555555,26,4,0,202942.727272727,0.91677506636678,0.690539329168638,0.954848210306302,-0.374299359216494,-0.0135982423152766,0.205596332068367,-0.40305063193806,-0.692899579970585,0.406905045456674,0.274299409833876,-0.133893342285367,0.997371549716858,0.730883249887677,0.473849432297912,-0.339237881516683,-0.262483571312615,0.416041710142066,-0.893625564823684,0.028444837326391,-0.656603167604936,-0.290530550894574,0.872510203100979,0.0084704221265719,-0.694826011403848,0.914641967934855,0.286315007734259,0.684404216559792,-0.479886326696671,0.713540430047335,-0.319613220784633,0.304601868290734,0.825007948942952,-0.281463153325703,-0.899359300685748,0.210107364323971,-0.127219113114858,0.0940719484789632,-0.624074095685069,-0.729363996409515,0.0728417798284635,0.370143130128338,0.581347671142475,-0.609151137810736,0.925753867219088,-0.420769141717241,0.0721086920574814,-0.347488031418756,-0.775859661295945,-0.821905914611139,-0.507160312266629,-0.726501813031035,-0.937738848821138,-0.893163267473301,-0.378423621588584,-0.560848029125877,-0.955735136734198,-0.317931092957934,0.64967422171015,-0.288941327151349,0.700086749950464,0.521192115508575,-0.923164305241389,-0.40644001001792,-0.273481733758693,0.969697541543142,0.0410987087716808,0.278834703042561,0.630242550573425,-0.736257932026059,0.787981231598175,0.643444480208421,0.0401158058271351,0.835738431585831,0.955603057497928,-0.0267462977332744,0.12812177796295,0.481661340911715,0.0827165549074842,0.725943130313392,-0.157466724122626,-0.366196960846985,0.460263877855737,-0.657980412085531,0.220700742313965,-0.593111407753598,0.242340717111873,0.718171216416252,-0.903039531737119,0.661488728440129,0.16584250105817,-0.809288020156924,0.444397726768813,0.66486723146628,-0.429450746359979,0.551649664319888,0.293307435369728,-0.0122123188396042,0.664330595947956,0.956056325675946,0.538132149511078,0.793273989014921,0.0222694180078196,0.960398270730115,-0.609887146209314,-0.150604792475051,0.233382381141829,-0.773477280406969,-0.848766324971228,0.648322676144691
2,0,0,0,-28.84,0.504347826086956,6.9,1.26086956521739,5.8536231884058,1.4304347826087,2.62463768115942,-58101.3101449275,9900,119,6.16555555555555,26,4,0,-58101.3101449275,0.52062717895984,-0.908286387989431,-0.770025378917356,0.331926494525711,0.673882536438239,0.828193459579811,0.602087572963018,0.0682962346208731,0.189031743066866,-0.380969271706869,-0.492252845080687,-0.688434641663187,-0.366711240898218,0.754920048525054,0.409637283258903,-0.456312324598577,-0.99202320631222,0.384320076268315,0.169509779275167,-0.230618717721952,0.123655391448948,0.270193162965678,0.622706589113319,-0.832126026894956,0.76832982700706,0.124742342682901,0.0983088273081505,0.734660390640917,0.501579170814519,0.942251590984991,0.511240307945404,-0.947901931567072,0.45110136244963,-0.570736933299683,0.732318801680728,-0.575236672337743,0.664613190882194,-0.300868959771874,0.849979598005293,0.0810159068000578,0.695979362212112,0.267129307271507,0.747364058972972,-0.501993524610062,0.795136122868925,-0.526160899329074,0.953429809749792,0.580110411895491,-0.878800241220184,0.687684208940567,0.924321653286145,0.0433040936679132,0.572395430678686,0.905290837355559,0.911702953237902,-0.749565984005838,-0.53099297710275,-0.9378993520224,0.563596667518651,-0.450859806244662,-0.270115367728339,0.867427182322101,0.566717063806354,0.246780152081875,0.107790420347727,-0.544350913513615,-0.139536004112817,-0.795974307598534,-0.977398753155674,-0.0151260444033546,-0.12092551548077,0.308845753459654,0.534340478263023,-0.911506127524891,0.0734019200659366,0.856526084177441,0.522829103992707,0.124700113723381,-0.627262149763881,0.294490726336134,0.171312532933109,0.51819841541266,0.6134606318611,0.813894961873952,-0.982070062301154,-0.532063785722509,-0.520297362245758,0.545810525094071,-0.482439886537585,0.481884785686566,0.955756304765007,0.602512542904593,0.135534372709475,0.300839404249955,-0.648868725471603,0.828552179890011,0.700412243465154,-0.499416093108904,0.390216055042211,0.339487036382541,0.613375104783743,0.749404117348326,0.557509165051165,0.136325803183171,-0.191390275578662,-0.384524100173509,0.508963615404891,0.483901558203577,-0.168111082710377
3,0,0,7,-23.67,1.08208955223881,6.7,1.01492537313433,4.52537313432836,1.57462686567164,2.42238805970149,-132644.149253731,9900,119,6.16555555555555,26,4,7,-132644.149253731,0.311030192911173,-0.437396477645913,0.599352352134582,0.923731091396758,0.868525396971277,0.0662837107974494,-0.939071762347162,0.734816106844142,0.372859247668115,-0.680370326005095,-0.272643175568731,0.322927492355428,0.181874234779679,0.968753822133296,0.0978995669157707,0.597269251755098,-0.800953246560392,0.375248574360855,0.26518917794581,-0.596046606821961,0.679946266896998,-0.859665903197446,0.817330744963759,0.126660229231538,-0.812189019197686,0.0492592868624531,0.611533621145195,0.499865607125622,0.951906734123783,-0.628694465210985,0.173506211104573,0.0158179975188422,0.56693754138748,-0.551362207881809,-0.649541464471045,-0.396761021295917,-0.408640372291506,0.520666635372055,0.796341834495003,0.504265542842571,0.49072142666705,0.558491328525586,0.614928433492281,0.344700921953051,0.228699501244677,-0.78479534284435,-0.388600245764759,0.0535155958745235,-0.137501296185656,-0.207156397964413,-0.349651545914659,0.858133806780974,-0.0386664583527793,0.747280281850733,0.968376409247693,0.170696096108619,-0.254727222609672,-0.527307877096957,0.735920110594444,-0.180733889891176,0.454750089652254,-0.438937369472784,0.78290937272036,0.00155371287909967,0.146123462890332,0.711538826912427,0.755989950967948,-0.266763557338511,0.618295286604341,-0.505339411788312,0.00590962404660389,-0.321619881932447,0.578906739865852,0.760923635103239,-0.0867680334890113,-0.878545061628588,-0.474594336689727,-0.527370176989292,0.897960727986861,0.972606323646664,-0.562140467372788,-0.441981974729328,-0.362633096688722,0.159063132088195,0.720957080703674,0.315372404323599,-0.945515544128379,0.819657259536748,-0.519738617129502,0.179762439420336,0.857966201313756,-0.881332495194549,0.784746524777611,-0.0229242756138203,-0.950484546809683,-0.0703412038601661,0.775581955805226,-0.386625279386819,-0.801422540937281,0.51716067433225,-0.540785293812298,0.878163311573753,0.435220309270183,-0.632161884397344,0.786933977988983,0.971968336017788,-0.720772933084878,0.200409906543982,-0.165951684660256
4,0,0,1,-29.89,0.376661742983752,6.77,1.03988183161004,5.49778434268833,1.09748892171344,2.85672082717873,-229556.329394387,9900,119,6.16555555555555,26,4,1,-229556.329394387,0.846921470876281,-0.354709567201654,-0.72735704562038,-0.425268605083818,0.76331378694778,-0.618593422518388,-0.103267935618417,0.923695727215938,-0.376153759367836,0.280596632175425,0.830751058566734,0.657054371040805,0.9363326914312,-0.747024940209009,-0.561467152815995,-0.363305613102068,-0.112757880758847,-0.106366406710058,-0.398168984520328,0.711408181912921,0.983573170371155,-0.654127017433814,0.912030942697093,-0.72594763605201,-0.619199946345389,0.513391617458962,-0.440303778946541,0.122797716000489,-0.730471212291378,0.372129154099212,0.748988744685887,0.0361453374084761,-0.145925450672361,-0.0143910558029967,-0.366660088005783,-0.46552799337801,0.585323246934136,0.543936109889269,-0.978567262170169,-0.404330853095432,0.152783388808734,0.00596306892389564,0.151735715173062,0.332778088437756,-0.632173599504015,0.860106303291445,-0.477117985243498,0.625188251782762,-0.00331253791382191,0.731143728704724,-0.100308141252169,0.0783347427278454,0.67739605143545,0.489001724631061,-0.149524855031411,0.501048488310095,-0.266740509898747,0.99859059043163,-0.806068658738429,-0.750077830511181,0.821710356428153,0.773934348381094,0.654166939507316,0.251717086532953,0.531607887489539,-0.205394278841742,-0.197020178286834,-0.0492762527658028,0.619635147796774,0.904060840562014,0.0513711399637959,0.343306009351884,-0.127799144539888,-0.993838131424896,-0.441375206895813,-0.0223898985527409,0.194137267393124,-0.420747145740663,0.906225963452005,-0.479306249636834,-0.00949039729753998,-0.0654920307293031,-0.873889746085689,-0.461614940996102,-0.527562704648619,-0.329345998041959,0.358749285973026,0.365072824696578,-0.864866200771586,0.132291423684122,0.801212516520737,0.586732656502506,0.350004768627698,0.771510568341012,-0.226041209523585,0.378849040427641,0.351796129416579,0.900018628640109,0.801170200948217,0.573220679337727,0.0571264815782786,0.572158267522304,-0.994446896014012,0.0926266215241638,-0.320227411259072,0.556385849395947,-0.793866112732266,0.671234182860346,-0.0696230684731263
5,0,0,0,-29.95,0.17981072555205,6.34,1.22555205047319,6.34542586750789,1.13880126182965,2.75078864353312,-23888.0552050473,9900,119,6.16555555555555,26,4,0,-23888.0552050473,-0.698149627865362,-0.142748651626868,-0.160587219130521,0.538057644636397,0.563718302903566,-0.63467746210968,0.179278215942568,-0.452497963538625,-0.429364872830624,-0.386308954742881,-0.489738492057537,0.0373572562995168,-0.500142666278473,-0.680883610472495,-0.461896491917733,0.849375900742307,-0.815639454785567,-0.764738232719124,-0.150562792620884,0.917555515615994,0.41693779333352,-0.667933677168532,-0.589045115555192,-0.0841306909379227,0.294083793318869,0.806618127881837,0.228339403508389,-0.541464111554187,0.554499626883538,0.509569480786831,0.398614713642101,-0.893583708393194,-0.157774800042517,-0.8451004316309,-0.617755657815261,0.157966335843301,-0.0268251602662845,-0.266775746488374,-0.828709616246032,0.101774317725456,0.491758554005883,0.381006844984836,-0.453950643285155,-0.634846206584408,-0.252751015710063,0.506425288276014,0.889165578358418,-0.703108008812698,0.665143619135555,-0.993130042214473,-0.650224691094004,0.009601884060354,-0.602886661702249,-0.400704201031804,0.676646636648405,0.96978404930317,-0.553703536071677,0.923543471807401,-0.756026148682472,0.757100175021729,0.136983134381931,-0.279257672503245,-0.00699759042216352,0.061065646382545,0.215076331615018,-0.596154783664343,-0.804867943657966,-0.655042234647573,0.936872047342766,0.380137172238965,-0.123798938991408,0.451136291702807,-0.936028616473092,0.74766288965366,-0.574203038389889,-0.964069051651316,0.786016966116623,-0.954198908970784,-0.83137967522786,0.787658505042856,0.917452549523419,-0.0685525876789133,-0.206607730689742,0.547629669098011,0.159794171880835,-0.610987170418253,0.709302953309055,-0.757070599010713,-0.521747068279305,-0.587539707118431,-0.288330128085022,0.0496313679263143,-0.510749597805901,-0.585809791267761,0.964791183343526,-0.228983773490872,-0.611995564593,0.4849837103323,0.150077461800574,-0.656596232045719,0.31129323193398,0.544207813005991,-0.639980056155464,-0.71499355310341,0.130668896776936,-0.101360982796811,-0.054369499466554,-0.350549551355908,-0.826501162641915
6,0,0,14,-19.29,1.44075144508671,6.92,1.0650289017341,4.36127167630058,2.6228323699422,1.50722543352601,169168.124277457,9900,119,6.16555555555555,26,4,14,169168.124277457,0.87286504352133,-0.693088779083029,-0.845993364158083,-0.907635373020375,0.673237590898405,0.259412566786358,-0.112797612842544,0.647824094466783,0.115781880503419,-0.220720208818428,-0.139046114468503,0.435856435185231,0.437906997016588,-0.184410051994217,-0.512656275887348,-0.897151675958723,0.46463848346129,0.993301240724186,0.100690287119099,0.23220307809869,0.179775752676546,0.62581397203068,0.294118638753015,-0.22191734668888,-0.666994715885722,0.463567268784888,0.418351335180156,-0.0710451347152913,0.0334836323901468,0.858612470262969,-0.0839485540445655,-0.535479885309692,0.68751510311268,-0.565304106830295,-0.737731244292916,-0.174619797232849,0.64720588067882,0.494368029522881,0.676767177729293,-0.487901998445346,0.886756403318959,0.731024945960857,-0.763985751086839,0.120738837458537,-0.0597836845832801,-0.862635755847504,0.619219484561691,-0.243431680483479,0.518209379873336,-0.0102217025171135,0.215134105279638,0.56308460867176,0.105443600148635,-0.560968895238344,0.750601178850327,-0.752948928509349,0.0127925821639563,0.375923982530797,0.759359342865348,-0.790329677886483,0.841061231606203,0.958247521872748,-0.385659537923364,0.25716941024045,0.863228345226137,-0.60356622915881,0.748341332072551,0.00321110384688295,-0.4466788077013,0.661963521345502,-0.544357556637543,0.970270453938409,-0.683465937005107,-0.411407714435555,0.345446674779731,0.448750806715689,0.389799723117519,-0.826620198705522,0.8378663378944,-0.804358960038218,0.844347784223197,-0.338216984336365,0.410745485411373,-0.95629466509274,-0.356521635016669,0.352966837283674,0.359076514541673,0.248483998351025,-0.315905285680622,-0.984782315783567,0.812587620603194,-0.728718101851976,0.735008686657533,0.467096855615776,-0.328963230051549,0.928508881446211,0.116684483884221,-0.021155161327289,0.2575104922324,-0.45621745542447,-0.610977087920055,-0.383991619285192,-0.796752872782179,0.856245858527835,-0.46586414587957,0.244863651341229,0.246550545676868,-0.48314868541581,0.0935844299819248
7,0,0,0,-28.93,0.1015625,6.4,1.35625,6.3234375,2.26875,1.5453125,-863977.86875,9900,119,6.16555555555555,26,4,0,-863977.86875,0.640715688299721,-0.816232916813452,-0.599504627100893,0.754923147035261,-0.543684653725328,0.83964762549831,-0.794464277939156,0.927350058186497,0.445372740479825,0.90127147450171,-0.173936497966729,-0.305457736973398,0.952202655352747,0.866704833631732,0.524411754461197,-0.331532699676013,0.826569693082277,-0.0381141104912917,0.649781174794669,0.782871706310134,0.654780735100983,0.647926512941684,-0.698966744215678,-0.104276370771358,0.82521655681786,-0.523634726891124,-0.626755263482572,-0.42857253152345,-0.491614177586331,-0.583039227678924,-0.738844845322354,0.443382329048301,0.0598525046649634,-0.930569436368798,-0.162462756579026,-0.771306790304979,-0.688825500984129,0.294708220891053,-0.967064944080573,-0.425457416766071,0.759255461282681,-0.156333831677369,-0.0573683050728255,0.58371223583059,-0.675986040232697,0.648861504927679,0.359090576581234,0.677502979374259,-0.164391810616661,0.616539146572602,0.304099203694658,0.936753127694481,0.295849325738777,-0.133421257666043,-0.481281897742898,0.992789175358037,0.882733827402226,0.504771743670465,0.929706590217402,0.979950073165796,0.466402888980882,0.634108253584294,0.418964235772828,0.0284119681587498,0.640116319824064,0.38268117298497,0.634689758361638,0.882772091721544,0.029167590210758,0.295718544766176,-0.642707198691884,-0.468138527808775,-0.0710491664107187,0.0752385915607394,-0.976383754972547,-0.188885433221648,-0.294705181985491,-0.282678980046268,-0.428290330538661,-0.823644948109819,0.117274696527643,-0.304258242856831,0.735819279093211,-0.108153324158934,0.112861568626418,-0.675597973016835,-0.852466996690476,-0.806726237668994,0.550712461374101,-0.155251931937063,-0.654040617707204,-0.193597244654595,0.365001630673651,-0.947015017246369,0.108139694253048,-0.874852792301612,0.424701932549804,0.914219726768425,0.943595916006526,-0.058667213217666,-0.98582825343396,0.476318484859689,-0.351664610836499,0.539889644617163,0.259246345264486,-0.227762268496567,0.00780229410519939,-0.779389265821962,-0.157037502693495
8,0,0,0,-30.33,0.118032786885246,6.1,1.34590163934426,5.99180327868852,2.05737704918033,1.71311475409836,581136.218032787,9900,119,6.16555555555555,26,4,0,581136.218032787,0.272882655855679,0.832362639639695,0.70401350208745,-0.754155777280291,0.378492925958006,-0.998259321785653,-0.274978192185507,0.139764262894059,-0.90343981231723,-0.0297268019196236,-0.160319384727776,-0.185648729645484,0.634815468282819,0.685286925959069,-0.0329673201930557,0.566331366806445,-0.019646283713936,0.106893875220275,0.534727889827792,0.717065803574894,-0.984603463664932,0.14711191092949,-0.514238881652355,-0.631337000816752,0.517076417578886,0.526233549009186,0.107776535259456,0.841389207095555,0.746740445376719,-0.21511874218244,0.893437096799462,-0.314922193677594,-0.26141690894096,0.0495189302831511,0.132935149191383,0.689555385005453,0.356820942534516,-0.456985351376694,0.192162563648151,-0.981258818870997,0.243568633330785,-0.52554046433677,-0.5720612944905,0.0327939451824846,0.58406214955452,0.814415792848177,-0.236856751719889,-0.203635906429792,0.688275470253208,-0.729581311219177,0.840564178228641,-0.0760869407449323,-0.484559749013074,-0.270885605025518,-0.391505034357079,-0.874229255073811,0.34660152129205,0.335350502904202,-0.271232194859177,0.85225937694882,-0.106035857045108,-0.116367399281062,0.39302381751734,0.311678929865211,0.0768361012809147,-0.845397191050182,-0.924231820704523,-0.414703462000332,-0.447648223232314,0.277477294801491,-0.790489575728071,-0.562660932337242,0.914731311572125,0.515986708698788,-0.526502829755891,0.540937000671838,-0.28082679458001,0.452967173165161,-0.215399150371272,0.702660624730708,-0.236909699270925,-0.688587558310753,-0.846886263157654,0.476321756595895,-0.0556829204110815,-0.030475962455606,-0.83036244466452,-0.990531303915443,-0.55897603535977,0.00716440426519349,-0.657046136286597,-0.978529560369686,0.814246843482483,0.339903186699331,0.124777038174112,-0.640063967388153,0.08143571814589,0.116259775644289,0.95595784390157,0.429459340604702,0.7386476135527,-0.822153289719556,-0.755987683197478,-0.589201824548283,-0.939091735491106,0.403225110565883,0.009181747682943,-0.000546457711861681,-0.744382775269627
9,0,0,0,-25.06,1.30533333333333,7.5,1.144,4.56,2.81066666666667,1.648,968037.126666667,9900,119,6.16555555555555,26,4,0,968037.126666667,0.70760353547875,0.287494357343528,0.165412807448494,-0.0669379257908733,0.753351538327221,-0.137324623361847,-0.229338868162287,0.898288974491083,-0.472882440068239,0.915550399532332,0.315714292840899,0.235148169675445,0.441415996030632,-0.667940369652556,-0.815580477852179,-0.0502408375266198,0.550890045962711,0.166859841517573,-0.12403414916435,0.967098897307691,0.898469037329065,0.386412634228548,-0.208924908753915,-0.226274896052794,0.630376882679005,-0.837816694675859,0.640956211667953,-0.952593632020333,-0.804070365523952,0.63260033057658,-0.659376162877016,0.316599732877966,0.926922269131486,0.350311265024501,0.843108925895351,0.557253710719409,0.180546574844302,0.873340681136279,0.611650092346431,0.190309606115478,-0.662521437584665,-0.773141766792695,-0.102415627381958,0.998669327236092,-0.372118376834373,0.706184617106889,-0.427244249464592,0.144258854512246,-0.53608413298432,-0.409869517856217,0.708356299301775,0.60537788998586,-0.868163556730451,-0.746488163129654,-0.0555065400225606,-0.678809098749798,-0.503580733902557,-0.608312296498712,0.302685191530122,0.59116823300308,0.2217191649702,-0.276745236141954,0.702359340015035,-0.105482770644819,0.574926562409348,0.999114559962933,0.308225900543959,-0.908895268993869,-0.511049295547907,-0.372834188571588,0.769212587629078,0.677549364826432,0.555209749171142,0.685656244720172,0.629620334892357,0.67161080412176,-0.511171738389494,-0.207594235990007,-0.854156519218421,0.924192265572116,0.589427554788733,-0.503302642844293,0.583490500963987,0.605799152332265,0.924244031274805,-0.264754052862876,0.184763289608417,0.67341043226114,-0.594182194952938,0.521918024645149,0.0608344446219664,-0.211141128656986,-0.429344510393843,-0.979518140656649,0.968590441145278,0.614223798557289,-0.47550110680773,-0.996932856737139,-0.576257235173256,-0.371232936797306,-0.60204128343707,-0.518348980470723,-0.344691849939847,0.836750055587268,-0.179082105485295,-0.969193065524657,-0.949831859185282,-0.553819801450623,-0.376108498022011
